People sick,People recovered,People dead,People vaccinated,People immune,People susceptible
96,0,0,0,0,904
99,18,7,0,18,876
128,39,11,0,39,822
155,56,15,0,56,774
196,84,22,0,84,698
228,120,36,0,120,616
212,178,48,40,210,530
219,223,58,80,283,440
219,257,71,120,339,371
207,301,76,160,399,318
186,344,86,200,458,270
170,381,89,240,508,233
148,411,99,280,554,199
123,441,103,320,597,177
103,461,111,360,633,153
83,482,115,400,666,136
63,502,123,440,694,120
50,514,126,480,716,108
39,522,130,520,730,101
31,528,133,560,744,92
29,530,135,600,755,81
19,539,137,640,778,66
19,540,138,680,793,50
19,542,138,720,807,36
18,543,138,760,819,25
17,544,138,800,834,11
13,546,140,840,845,2
8,550,141,851,851,0
5,552,142,853,853,0
4,553,142,854,854,0
3,554,142,855,855,0
1,556,142,857,857,0
1,556,142,857,857,0
0,557,142,858,858,0
